DATE,LABOUR,QUANTITY,RATE,TIME,TOTAL,MONTH,YEAR
2025-01-17,General Labour,4,28.68,8.75,1003.8,January,2025
2025-01-20,General Labour,4,28.68,8.75,1003.8,January,2025
2025-01-21,General Labour,4,28.68,8.75,1003.8,January,2025
2025-01-22,General Labour,4,28.68,8.75,1003.8,January,2025
2025-01-24,General Labour,2,28.68,8.75,1003.8,January,2025
2025-02-10,General Labour,2,26.44,8.75,462.7,February,2025
2025-02-10,General Labour,4,28.68,8.75,1003.8,February,2025
2025-02-11,General Labour,4,28.68,8.75,1003.8,February,2025
2025-02-11,General Labour,2,26.44,8.75,462.7,February,2025
2025-02-12,General Labour,4,28.68,8.75,1003.8,February,2025
