ITEM_NAME,LOCATION,RESPONSIBLE_PERSON,QUANTITY,UNIT_COST,TOTAL_COST
24WAY LC PATCH PANEL,,LIBERTY TOWERS,,1.0,
48 PORT ODF PATCH PANEL,,LIBERTY TOWERS,,3.0,
BIG Cable Ties 7.9 x 400 2025,,LIBERTY TOWERS,,5.0,
LC/PC Pigtails 2025,,LIBERTY TOWERS,,168.0,
Splice Protector  60mm 2025,,LIBERTY TOWERS,,3.0,
Brady Vinny M21-750 Yellow & black 19mm 2025,,LIBERTY TOWERS,,1.0,
48 CORE HDD SM (9/125) FIBRE 2025,,LIBERTY TOWERS,,900.0,
12 CORE CST SM (9/125) FIBRE,,LIBERTY TOWERS,,300.0,
12 CORE CST SM (9/125) FIBRE,,LIBERTY TOWERS,,300.0,
SMALL Cable tie 4.8 X 50/100/200 2025,,LIBERTY TOWERS,,1.0,
6 WAY DOME JOINT,,LIBERTY TOWERS,,2.0,
